Model,Accuracy,Precision,Recall,F1_Weighted,ROC_AUC
Logistic Regression,0.5138888888888888,0.524451939291737,0.42661179698216734,0.5101013460369495,0.5265174535373004
Random Forest,0.5201388888888889,0.5295950155763239,0.4663923182441701,0.5187465107241308,0.5350604550479531
XGBoost,0.5347222222222222,0.5438335809806835,0.5020576131687243,0.5342444053439992,0.5473308908220613
LightGBM,0.5166666666666667,0.5252679938744257,0.47050754458161864,0.5156375408407544,0.5370611534595491
