Date,Close,Dividends,High,Low,Open,Stock Splits,Volume,Ticker,Name
2016-01-01,146.80287170410156,0.0,147.47525538468815,145.97360631158654,146.84769657248535,0.0,1536435,ITC.NS,ITC
2016-01-04,145.72711181640625,0.0,146.1753606466849,144.13581248666722,145.9064113485177,0.0,6133919,ITC.NS,ITC
2016-01-05,145.6150360107422,0.0,146.3098269856278,145.25643696688704,145.7271035393632,0.0,6040492,ITC.NS,ITC
2016-01-06,141.2445526123047,0.0,146.57876589869505,140.998010477601,146.57876589869505,0.0,15821205,ITC.NS,ITC
2016-01-07,138.77915954589844,0.0,140.66181486095547,138.35331792628904,140.66181486095547,0.0,12264018,ITC.NS,ITC
2016-01-08,140.5946044921875,0.0,142.09625394617163,138.84641287214401,139.49637895598306,0.0,10219316,ITC.NS,ITC
2016-01-11,141.67042541503906,0.0,142.00661737182006,138.8464257638788,138.9584933010836,0.0,7141566,ITC.NS,ITC
2016-01-12,141.26698303222656,0.0,142.05143443983152,140.07911834641428,141.31180791367547,0.0,7222615,ITC.NS,ITC
2016-01-13,141.53594970703125,0.0,143.62032277578462,141.04286533281007,142.25314784432277,0.0,7126884,ITC.NS,ITC
2016-01-14,142.20831298828125,0.0,142.8806968496739,139.96704765674906,140.59460663770437,0.0,11933785,ITC.NS,ITC
2016-01-15,140.70664978027344,0.0,142.27554175214237,139.989451763265,141.24455894786126,0.0,8287068,ITC.NS,ITC
2016-01-18,141.37904357910156,0.0,142.8358681364725,140.4153033481428,140.7066597357512,0.0,12285620,ITC.NS,ITC
2016-01-19,140.77389526367188,0.0,142.32036950131317,139.83256219251354,141.3117937872871,0.0,7099389,ITC.NS,ITC
2016-01-20,138.48780822753906,0.0,143.44100518649788,136.71720956671652,139.1377742850647,0.0,10015115,ITC.NS,ITC
2016-01-21,137.34475708007812,0.0,139.69808979560753,136.1120676163314,139.69808979560753,0.0,13042954,ITC.NS,ITC
2016-01-22,138.39816284179688,0.0,140.19116867078966,135.64140612444442,138.51021971276577,0.0,15828472,ITC.NS,ITC
