Date,Name,Ticker,Open,High,Low,Close,Volume,Daily_Return,Target
2016-01-04,SBIN,SBIN.NS,204.8431628877212,204.8431628877212,198.6152862952215,199.20196533203125,14092071,-0.031167768296597842,0
2016-01-05,SBIN,SBIN.NS,201.09742786975025,201.09742786975025,195.86239340220476,196.53933715820312,15074848,-0.013366475423021273,0
2016-01-06,SBIN,SBIN.NS,196.67469988768264,198.4798830487351,195.3208125168933,195.72698974609372,11921123,-0.004133256089367543,0
2016-01-07,SBIN,SBIN.NS,193.15459115511615,193.24485581884315,188.6416334178471,189.1380615234375,14342279,-0.03366387145280114,0
2016-01-08,SBIN,SBIN.NS,191.34938800899417,191.80068373543048,188.2805825782083,188.5964813232422,11745840,-0.0028634120273470787,0
2016-01-11,SBIN,SBIN.NS,186.65593875570977,187.28775009793483,182.91017549027848,184.3994598388672,19287860,-0.022253975551015603,0
2016-01-12,SBIN,SBIN.NS,184.89586478697552,185.0312479960404,179.2546682017304,179.9767303466797,20318816,-0.023984503512386568,1
2016-01-13,SBIN,SBIN.NS,181.73681992868225,182.6845300686063,175.10276631448662,181.3306427001953,23788247,0.007522707801767892,0
2016-01-14,SBIN,SBIN.NS,177.81053845662314,181.87220050258665,175.3735439835359,176.9530792236328,20256636,-0.024141333264892206,0
2016-01-15,SBIN,SBIN.NS,178.53261168034413,178.53261168034413,163.36907085732784,166.34762573242188,29090426,-0.05993370410812571,0
2016-01-18,SBIN,SBIN.NS,166.889181320643,169.82260402046063,161.69927962096563,163.36907958984375,35653244,-0.017905552480618314,1
2016-01-19,SBIN,SBIN.NS,164.40705907694007,169.50671002452225,163.82038002934326,165.12913513183594,24501774,0.010773492428377551,0
2016-01-20,SBIN,SBIN.NS,163.05317254145334,163.05317254145334,154.79446463132953,156.7350311279297,28655794,-0.05083357335581362,1
2016-01-21,SBIN,SBIN.NS,159.75870937065145,161.24797996597232,155.29088381223428,158.49508666992188,28697205,0.01122949687332886,1
2016-01-22,SBIN,SBIN.NS,162.37623170516966,167.34048576118877,160.9320933341647,166.61842346191406,21432409,0.05125292501280909,0
2016-01-25,SBIN,SBIN.NS,169.5969609235997,170.40930165002828,164.7229716548493,165.12913513183594,17534650,-0.008938317258886719,1
2016-01-27,SBIN,SBIN.NS,166.43788146972656,168.0625490645736,163.41420794698084,166.43788146972656,16569813,0.007925593123501384,1
2016-01-28,SBIN,SBIN.NS,166.25735427992225,167.7917571006677,164.72295145917678,167.205078125,20241030,0.004609507454064632,0
2016-01-29,SBIN,SBIN.NS,166.25738289831105,167.65640274162874,160.7515819734996,162.37623596191406,24259147,-0.02887975782335972,0
2016-02-01,SBIN,SBIN.NS,164.22652287267866,164.22652287267866,155.33600474193466,155.9226837158203,22915269,-0.039744438019904904,0
2016-02-02,SBIN,SBIN.NS,156.23861739869585,160.11975040803236,152.17695504454386,152.89901733398438,35957332,-0.019392087859049223,0
2016-02-03,SBIN,SBIN.NS,151.45487096974009,151.45487096974009,147.34807649665927,149.87533569335938,24132003,-0.019775677393794044,0
2016-02-04,SBIN,SBIN.NS,152.80875826325556,153.2600540562525,144.59516932172937,146.98704528808594,23811109,-0.01927128564490954,1
2016-02-05,SBIN,SBIN.NS,147.75424055425324,152.8087589681158,146.40035316901736,151.81590270996094,22732245,0.03285226539802011,1
2016-02-08,SBIN,SBIN.NS,152.94415455613986,159.6684596916705,152.131827568341,155.3811492919922,22289005,0.023484012665277332,0
2016-02-09,SBIN,SBIN.NS,151.63538281565346,155.60678018993886,149.9204643523153,150.77792358398438,19008384,-0.029625380742662855,0
2016-02-10,SBIN,SBIN.NS,148.9276195022295,150.01072670775466,142.6094780688016,143.51206970214844,32294785,-0.04818910958001621,0
2016-02-11,SBIN,SBIN.NS,143.96335234557017,151.18408475161758,137.3744312705611,139.22474670410156,72749830,-0.029874302607055814,1
2016-02-12,SBIN,SBIN.NS,140.93966648915966,142.29355382823883,133.80919867899107,139.72117614746094,41187889,0.003565669574637109,1
2016-02-15,SBIN,SBIN.NS,143.51207357890544,153.44058181392404,142.60948192117647,151.50001525878906,35956266,0.08430246177499101,0
2016-02-16,SBIN,SBIN.NS,154.1175247052878,154.1175247052878,140.4883852399375,141.1653289794922,33816243,-0.06821574414790244,1
2016-02-17,SBIN,SBIN.NS,139.90168520584774,144.27925957449602,136.5169670153837,143.4669189453125,32447698,0.01630421564883444,1
2016-02-18,SBIN,SBIN.NS,146.17471262565184,147.7542479878948,141.1653262937616,144.23414611816406,21024178,0.005347763641205816,1
2016-02-19,SBIN,SBIN.NS,142.51917510422257,149.19835965988926,141.79711300951408,148.65679931640625,24592575,0.030663010925435996,1
2016-02-22,SBIN,SBIN.NS,149.78506837718402,150.55227672112764,147.7542373434614,148.88247680664062,15815058,0.0015181107845194663,0
2016-02-23,SBIN,SBIN.NS,148.92760556579012,148.92760556579012,142.6094647236051,143.06076049804688,20200068,-0.03910276369296728,0
2016-02-24,SBIN,SBIN.NS,140.80427777165454,145.04645518079698,140.17246645922117,141.07505798339844,19440950,-0.013880133921667093,0
2016-02-25,SBIN,SBIN.NS,142.24843085324662,142.69972661893274,136.29132123720834,137.01339721679688,22713124,-0.028790778644085524,1
2016-02-26,SBIN,SBIN.NS,140.35298865760038,143.24127891728523,137.69034628964803,140.71401977539062,30051402,0.027009202266098375,1
2016-02-29,SBIN,SBIN.NS,142.78996416157125,147.9347326550046,138.09649139164,143.28639221191406,66981910,0.018280853895223048,1
2016-03-01,SBIN,SBIN.NS,144.86596427588455,147.03217879345743,143.1059132587996,146.26498413085938,23588231,0.02078768173979917,1
2016-03-02,SBIN,SBIN.NS,155.69705861245168,165.35478645015323,155.69705861245168,163.5044708251953,53333757,0.11786475619422498,1
2016-03-03,SBIN,SBIN.NS,166.07683249080884,166.61839288834702,161.11257934570312,164.94859313964844,33507048,0.008832310866881743,1
2016-03-04,SBIN,SBIN.NS,165.53529038761866,171.35701710096438,161.11259715127147,170.04824829101562,38860711,0.03091663320250171,0
2016-03-08,SBIN,SBIN.NS,168.73949479652967,168.73949479652967,163.7301087234607,165.49017333984375,27928279,-0.026804598088957188,1
2016-03-09,SBIN,SBIN.NS,162.4664726786963,166.0768387382229,161.29310095485948,165.5352783203125,29453018,0.0002725538293812946,0
2016-03-10,SBIN,SBIN.NS,166.75379998796203,166.75379998796203,161.92492936430835,162.91778564453125,20472928,-0.015812295133345367,0
2016-03-11,SBIN,SBIN.NS,162.46651327107926,164.85837587414292,160.2551662616032,162.55677795410156,21869157,-0.0022158887625527424,1
2016-03-14,SBIN,SBIN.NS,164.6778318625676,165.53529111348206,163.0982965894525,164.0460205078125,14369755,0.00916136855352434,1
2016-03-15,SBIN,SBIN.NS,163.95576122621608,168.06255582571205,163.95576122621608,167.25022888183594,22369600,0.019532374903729277,0
2016-03-16,SBIN,SBIN.NS,166.9794270818958,167.79175392088047,163.91062149856117,167.15994262695312,19237834,-0.0005398273920844687,1
2016-03-17,SBIN,SBIN.NS,169.68722292013337,170.86059476928486,166.97944808630146,168.1979522705078,21560986,0.006209679348067265,1
2016-03-18,SBIN,SBIN.NS,168.64923862817338,173.29757965686275,167.88203029258577,172.62063598632812,21144216,0.026294515813768404,1
2016-03-21,SBIN,SBIN.NS,174.20018445456614,178.08133121503977,174.20018445456614,177.63003540039062,20678069,0.029019701992404112,1
2016-03-22,SBIN,SBIN.NS,177.6300142507328,178.9387692028963,175.55405099603195,178.26182556152344,16728809,0.0035567755177705607,0
2016-03-23,SBIN,SBIN.NS,177.72027512078554,178.35210023951512,176.27613686822147,177.4495086669922,13362780,-0.004556875214154599,0
2016-03-28,SBIN,SBIN.NS,176.72742921592098,178.93877577108543,169.37129977951358,169.95799255371094,19760603,-0.04221773376301696,1
2016-03-29,SBIN,SBIN.NS,170.1385004048612,172.62062706859257,168.4687005948241,171.0410919189453,16804848,0.006372747459299832,1
2016-03-30,SBIN,SBIN.NS,173.5232231543991,178.9839047129685,171.94368796313668,178.3069610595703,20709407,0.042480254651719784,0
2016-03-31,SBIN,SBIN.NS,178.57773458169942,179.39006142634682,173.6134813095238,175.32839965820312,30132473,-0.016704683786137098,1
