Date,Name,Ticker,Open,High,Low,Close,Volume,Daily_Return,Target
2016-01-04,ITC,ITC.NS,145.9064113485177,146.1753606466849,144.13581248666722,145.72711181640625,6133919,-0.007327921281156113,0
2016-01-05,ITC,ITC.NS,145.7271035393632,146.3098269856278,145.25643696688704,145.6150360107422,6040492,-0.0007690799897637213,0
2016-01-06,ITC,ITC.NS,146.57876589869505,146.57876589869505,140.998010477601,141.2445526123047,15821205,-0.030013956787505736,0
2016-01-07,ITC,ITC.NS,140.66181486095547,140.66181486095547,138.35331792628904,138.77915954589844,12264018,-0.01745478335843076,1
2016-01-08,ITC,ITC.NS,139.49637895598306,142.09625394617163,138.846412872144,140.5946044921875,10219316,0.013081538699538209,1
2016-01-11,ITC,ITC.NS,138.9584933010836,142.00661737182006,138.8464257638788,141.67042541503906,7141566,0.007651936052150088,0
2016-01-12,ITC,ITC.NS,141.31180791367547,142.05143443983152,140.07911834641428,141.26698303222656,7222615,-0.0028477530270031304,1
2016-01-13,ITC,ITC.NS,142.25314784432277,143.62032277578462,141.04286533281007,141.53594970703125,7126884,0.001903959927730181,1
2016-01-14,ITC,ITC.NS,140.59460663770437,142.8806968496739,139.96704765674906,142.20831298828125,11933785,0.004750477052944735,0
2016-01-15,ITC,ITC.NS,141.24455894786126,142.27554175214237,139.989451763265,140.70664978027344,8287068,-0.010559602153015879,1
2016-01-18,ITC,ITC.NS,140.7066597357512,142.8358681364725,140.4153033481428,141.37904357910156,12285620,0.004778692406351315,0
2016-01-19,ITC,ITC.NS,141.3117937872871,142.32036950131317,139.83256219251354,140.77389526367188,7099389,-0.004280325429497633,0
2016-01-20,ITC,ITC.NS,139.1377742850647,143.44100518649788,136.71720956671652,138.48780822753906,10015115,-0.016239424446208073,0
2016-01-21,ITC,ITC.NS,139.69808979560753,139.69808979560753,136.1120676163314,137.34475708007812,13042954,-0.008253803436493623,1
2016-01-22,ITC,ITC.NS,138.51021971276575,140.19116867078966,135.64140612444442,138.39816284179688,15828472,0.00766979231034326,1
2016-01-25,ITC,ITC.NS,136.87409063043614,139.7877396464305,136.2913672201364,138.68951416015625,9688748,0.002105167528072105,1
2016-01-27,ITC,ITC.NS,138.71194127331995,140.8411390905203,137.59130860009182,140.28082275390625,8839231,0.011473892625453841,1
2016-01-28,ITC,ITC.NS,140.1687789958586,144.27029325890186,139.6981123766733,142.7910614013672,14425495,0.017894382127089603,1
2016-01-29,ITC,ITC.NS,144.7185194997245,146.13051913669247,142.02900551440334,143.53065490722656,12977498,0.005179550446652081,1
2016-02-01,ITC,ITC.NS,142.8358667716325,145.6822732129082,141.13250006733165,145.57020568847656,7634682,0.014209861876324004,0
2016-02-02,ITC,ITC.NS,145.18917694560812,146.0856851028036,144.09096217779637,145.3460693359375,7338991,-0.0015397130991126051,0
2016-02-03,ITC,ITC.NS,144.22545948859212,145.34609219764465,143.2617191945468,144.3151092529297,5111345,-0.007093140445545543,0
2016-02-04,ITC,ITC.NS,144.51682832463547,145.50298639929073,143.88926931173373,144.2478790283203,3309501,-0.0004658571438389547,1
2016-02-05,ITC,ITC.NS,144.78576720410774,146.1081171314349,144.33751840916582,145.21160888671875,6754583,0.006681067790322404,0
2016-02-08,ITC,ITC.NS,145.59262192340037,145.63744680173497,140.86354931235726,141.31179809570312,6509280,-0.026856053871408547,0
2016-02-09,ITC,ITC.NS,140.41528799949555,140.63941237116944,138.84639608811605,140.03427124023438,11915170,-0.009040482625545132,0
2016-02-10,ITC,ITC.NS,139.8998468189323,140.2808530600828,137.61375609785483,138.51025390625,8168586,-0.010883173957965342,0
2016-02-11,ITC,ITC.NS,139.27222805224224,139.27222805224224,133.33287401367355,133.82595825195312,14580660,-0.03381912545960253,1
2016-02-12,ITC,ITC.NS,134.11733266171126,136.78443949596584,133.96045091870508,134.52076721191406,13703734,0.005191884810963332,1
2016-02-15,ITC,ITC.NS,135.82071678557446,137.16547393136074,133.75875085644674,136.13449096679688,12478912,0.011996093899320881,0
2016-02-16,ITC,ITC.NS,136.49308790277448,137.1654717926,131.62955087774637,132.4588165283203,10988951,-0.027000317203764723,1
2016-02-17,ITC,ITC.NS,132.9070572165539,135.28279714444372,129.5675770500811,134.40870666503906,13598699,0.014720727451931204,1
2016-02-18,ITC,ITC.NS,135.14833121360692,137.47924641209406,134.85697480492078,136.91893005371094,9751124,0.018676047489450287,0
2016-02-19,ITC,ITC.NS,136.7172202235506,137.2102939193093,134.92420365658074,136.5155029296875,7194078,-0.0029464671091512518,0
2016-02-22,ITC,ITC.NS,135.6638139483677,135.6638139483677,131.5174752944578,134.40870666503906,15270590,-0.015432652112291945,0
2016-02-23,ITC,ITC.NS,133.55702586469846,133.55702586469846,131.1812858911519,131.69677734375,9198036,-0.02017673846120316,0
2016-02-24,ITC,ITC.NS,131.33818273355655,132.41399055551798,128.20040903159963,128.91761779785156,14353186,-0.021102714902767716,0
2016-02-25,ITC,ITC.NS,127.57284558005048,130.12789572736963,127.3038962976482,128.29005432128906,15129076,-0.004867941925102537,1
2016-02-26,ITC,ITC.NS,129.54516000401077,130.8899170540036,127.81938614797296,130.41925048828125,12468580,0.016596736031148973,1
2016-02-29,ITC,ITC.NS,129.99340998554055,135.21555605299227,120.13184124608112,132.52603149414062,79431944,0.016153911312722036,1
2016-03-01,ITC,ITC.NS,136.7172042337393,146.57877288904456,136.7172042337393,145.8391571044922,67402048,0.10045668356816506,0
2016-03-02,ITC,ITC.NS,147.02704348123711,149.67174353362742,142.74622987756547,143.2393035888672,24680589,-0.017826855058975966,0
2016-03-03,ITC,ITC.NS,144.78577817352118,145.68228648615957,141.98419635579694,142.61175537109375,10227569,-0.004381117486961905,0
2016-03-04,ITC,ITC.NS,143.4410137728716,144.22545451116963,141.08768090314493,141.28939819335938,11818471,-0.00927242760804281,1
2016-03-08,ITC,ITC.NS,141.6479966673626,145.23401906715048,141.6479966673626,143.55307006835938,13109801,0.016021526766658578,0
2016-03-09,ITC,ITC.NS,142.09627733515055,143.75480881384854,140.1687858788297,143.39620971679688,20903665,-0.001092699386281315,0
2016-03-10,ITC,ITC.NS,143.32891860929607,144.24784446711814,140.23597047823063,141.6927947998047,13915900,-0.011879079093906175,1
2016-03-11,ITC,ITC.NS,141.6927974618253,144.33749692278414,141.19972386078916,144.02371215820312,12149994,0.016450500264969303,1
2016-03-14,ITC,ITC.NS,144.56164165110303,146.13052307569146,144.33751725542356,145.70468139648438,7708725,0.011671475572264,0
2016-03-15,ITC,ITC.NS,146.13052220060476,146.13052220060476,141.19974290585526,141.8721160888672,16209915,-0.026303652503711916,1
