Date,Close,Dividends,High,Low,Open,Stock Splits,Volume,Ticker,Name
2016-01-01,421.8365478515625,0.0,423.2486940895748,417.2374517202809,419.8328003951312,0.0,1806550,INFY.NS,INFOSYS
2016-01-04,411.7796630859375,0.0,420.76787393642576,410.6919237588225,419.81370845823517,0.0,3975362,INFY.NS,INFOSYS
2016-01-05,409.928466796875,0.0,414.2985247228599,405.4247884724624,414.2985247228599,0.0,4949786,INFY.NS,INFOSYS
2016-01-06,408.1346435546875,0.0,410.1574925645301,404.14625135936325,410.1574925645301,0.0,5588328,INFY.NS,INFOSYS
2016-01-07,401.0548095703125,0.0,407.5812914256601,399.94796841587197,404.5852214623395,0.0,5294088,INFY.NS,INFOSYS
2016-01-08,405.8255615234375,0.0,407.3903831335082,402.8485474632268,405.1385439433588,0.0,3156716,INFY.NS,INFOSYS
2016-01-11,402.9249267578125,0.0,408.363669271654,401.5509379670736,403.15396371468995,0.0,5360622,INFY.NS,INFOSYS
2016-01-12,400.7303466796875,0.0,405.69200651977934,393.4405326941889,405.32944232135316,0.0,6565212,INFY.NS,INFOSYS
2016-01-13,413.49700927734375,0.0,416.39766194907094,400.0241790310383,403.4210162054702,0.0,8751294,INFY.NS,INFOSYS
2016-01-14,432.42767333984375,0.0,440.8243271911029,402.40962650357284,406.85604570191833,0.0,30227006,INFY.NS,INFOSYS
2016-01-15,435.061279296875,0.0,444.25942473496366,434.1643731096329,438.1527659757202,0.0,13036614,INFY.NS,INFOSYS
2016-01-18,432.0078430175781,0.0,443.53413993744226,430.65290980460355,435.06117164165846,0.0,10066612,INFY.NS,INFOSYS
2016-01-19,434.9658508300781,0.0,442.3319798024231,430.72936575000915,433.19109385880245,0.0,7500436,INFY.NS,INFOSYS
2016-01-20,427.9432067871094,0.0,442.732771347199,426.3211255127769,432.8094506101066,0.0,7507998,INFY.NS,INFOSYS
2016-01-21,433.9735107421875,0.0,436.0535726056645,428.2294165982981,433.19107650540855,0.0,6743000,INFY.NS,INFOSYS
