Date,Close,Dividends,High,Low,Open,Stock Splits,Volume,Ticker,Name
2016-01-01,205.61038208007812,0.0,206.60322463863344,202.63182685950076,203.08312268769566,0.0,6449426,SBIN.NS,SBIN
2016-01-04,199.20196533203125,0.0,204.84316288772118,198.6152862952215,204.84316288772118,0.0,14092071,SBIN.NS,SBIN
2016-01-05,196.53933715820312,0.0,201.09742786975025,195.86239340220473,201.09742786975025,0.0,15074848,SBIN.NS,SBIN
2016-01-06,195.72698974609375,0.0,198.4798830487351,195.3208125168933,196.67469988768266,0.0,11921123,SBIN.NS,SBIN
2016-01-07,189.1380615234375,0.0,193.24485581884315,188.6416334178471,193.15459115511618,0.0,14342279,SBIN.NS,SBIN
2016-01-08,188.5964813232422,0.0,191.80068373543048,188.2805825782083,191.34938800899417,0.0,11745840,SBIN.NS,SBIN
2016-01-11,184.3994598388672,0.0,187.28775009793483,182.91017549027848,186.65593875570977,0.0,19287860,SBIN.NS,SBIN
2016-01-12,179.9767303466797,0.0,185.03124799604038,179.2546682017304,184.89586478697552,0.0,20318816,SBIN.NS,SBIN
2016-01-13,181.3306427001953,0.0,182.6845300686063,175.10276631448662,181.73681992868222,0.0,23788247,SBIN.NS,SBIN
2016-01-14,176.9530792236328,0.0,181.87220050258662,175.3735439835359,177.81053845662314,0.0,20256636,SBIN.NS,SBIN
2016-01-15,166.34762573242188,0.0,178.53261168034413,163.36907085732784,178.53261168034413,0.0,29090426,SBIN.NS,SBIN
2016-01-18,163.36907958984375,0.0,169.82260402046063,161.69927962096563,166.889181320643,0.0,35653244,SBIN.NS,SBIN
2016-01-19,165.12913513183594,0.0,169.50671002452225,163.82038002934326,164.40705907694007,0.0,24501774,SBIN.NS,SBIN
2016-01-20,156.7350311279297,0.0,163.05317254145334,154.79446463132953,163.05317254145334,0.0,28655794,SBIN.NS,SBIN
2016-01-21,158.49508666992188,0.0,161.24797996597232,155.29088381223428,159.75870937065145,0.0,28697205,SBIN.NS,SBIN
2016-01-22,166.61842346191406,0.0,167.34048576118877,160.9320933341647,162.37623170516966,0.0,21432409,SBIN.NS,SBIN
2016-01-25,165.12913513183594,0.0,170.40930165002828,164.7229716548493,169.5969609235997,0.0,17534650,SBIN.NS,SBIN
2016-01-27,166.43788146972656,0.0,168.0625490645736,163.41420794698084,166.43788146972656,0.0,16569813,SBIN.NS,SBIN
2016-01-28,167.205078125,0.0,167.7917571006677,164.72295145917678,166.25735427992223,0.0,20241030,SBIN.NS,SBIN
2016-01-29,162.37623596191406,0.0,167.65640274162874,160.7515819734996,166.25738289831105,0.0,24259147,SBIN.NS,SBIN
2016-02-01,155.9226837158203,0.0,164.22652287267866,155.33600474193466,164.22652287267866,0.0,22915269,SBIN.NS,SBIN
