Date,Close,Dividends,High,Low,Open,Stock Splits,Volume,Ticker,Name
2016-01-01,250.29432678222656,0.0,250.6391639718232,247.39770000219926,248.8345216255186,0.0,3195076,HDFCBANK.NS,HDFCBANK
2016-01-04,246.09881591796875,0.0,249.20235072870446,245.5470707834755,249.20235072870446,0.0,5187536,HDFCBANK.NS,HDFCBANK
2016-01-05,244.2366943359375,0.0,247.0873540714226,243.99529707616804,246.02983089807304,0.0,3160872,HDFCBANK.NS,HDFCBANK
2016-01-06,245.31716918945312,0.0,247.5356273714684,242.91481467881343,242.91481467881343,0.0,4165536,HDFCBANK.NS,HDFCBANK
2016-01-07,242.81130981445312,0.0,244.81138203285587,241.31701556454067,243.70789197698417,0.0,6055428,HDFCBANK.NS,HDFCBANK
2016-01-08,244.22518920898438,0.0,244.7194614652046,243.05274836457264,244.1332270115374,0.0,3488356,HDFCBANK.NS,HDFCBANK
2016-01-11,243.3630828857422,0.0,243.91482797725706,240.30554344442083,241.8573107289133,0.0,3288912,HDFCBANK.NS,HDFCBANK
2016-01-12,240.684814453125,0.0,244.58149091669077,239.89170026772803,244.58149091669077,0.0,4258736,HDFCBANK.NS,HDFCBANK
2016-01-13,243.71945190429688,0.0,244.3171641244324,238.39745866575996,241.84583077760797,0.0,4515148,HDFCBANK.NS,HDFCBANK
2016-01-14,241.3285675048828,0.0,243.0872428401751,238.9721799679216,241.4205297042757,0.0,6279184,HDFCBANK.NS,HDFCBANK
2016-01-15,239.58139038085938,0.0,242.63892995765096,238.65031874374253,240.92624980775523,0.0,5417260,HDFCBANK.NS,HDFCBANK
2016-01-18,235.83416748046875,0.0,239.42046893056516,234.7191994229252,238.08711519373327,0.0,6495388,HDFCBANK.NS,HDFCBANK
2016-01-19,238.12158203125,0.0,238.52389208040103,235.93761319300154,236.14449305365594,0.0,6405212,HDFCBANK.NS,HDFCBANK
2016-01-20,234.09848022460938,0.0,254.71974781325653,231.70761736437282,235.63875587417684,0.0,9563588,HDFCBANK.NS,HDFCBANK
2016-01-21,235.178955078125,0.0,237.53534245794003,232.97200275449225,234.71917217474646,0.0,6300804,HDFCBANK.NS,HDFCBANK
2016-01-22,236.85716247558594,0.0,240.06413684679117,234.96054405917405,235.7996393984889,0.0,4236284,HDFCBANK.NS,HDFCBANK
2016-01-25,239.3514862060547,0.0,240.62736690208095,237.48937109366443,239.07559963126894,0.0,10143884,HDFCBANK.NS,HDFCBANK
2016-01-27,238.08709716796875,0.0,241.08716389589648,237.47787918380914,241.02969103065354,0.0,4039468,HDFCBANK.NS,HDFCBANK
2016-01-28,237.1790008544922,0.0,240.6733677781333,236.78819660952857,238.8572196866992,0.0,9951972,HDFCBANK.NS,HDFCBANK
2016-01-29,241.35153198242188,0.0,242.523972759069,237.98361664390842,237.98361664390842,0.0,5360184,HDFCBANK.NS,HDFCBANK
2016-02-01,243.62747192382812,0.0,245.29418498959623,242.236617381708,243.2251618734703,0.0,4609484,HDFCBANK.NS,HDFCBANK
2016-02-02,242.25962829589844,0.0,244.89187424994756,241.43199660143995,244.8344013857725,0.0,6528628,HDFCBANK.NS,HDFCBANK
2016-02-03,239.97216796875,0.0,241.7078595220674,239.5468744280786,240.12160301355865,0.0,4850244,HDFCBANK.NS,HDFCBANK
2016-02-04,241.20208740234375,0.0,242.51248544689784,240.3630060974467,240.92622889976388,0.0,5675992,HDFCBANK.NS,HDFCBANK
2016-02-05,242.59292602539062,0.0,244.5585089326399,240.37446816343956,242.0297032597858,0.0,7523904,HDFCBANK.NS,HDFCBANK
2016-02-08,238.13307189941406,0.0,243.22517353641422,236.8571910877096,242.53549913130152,0.0,3481924,HDFCBANK.NS,HDFCBANK
2016-02-09,235.88015747070312,0.0,237.14456057420728,234.6387379019506,236.0295644780508,0.0,5535460,HDFCBANK.NS,HDFCBANK
2016-02-10,232.8685302734375,0.0,236.8226657342878,232.21333126935878,235.38584427550933,0.0,7682280,HDFCBANK.NS,HDFCBANK
2016-02-11,224.21315002441406,0.0,232.88006133241632,222.58092618442217,232.1903869158346,0.0,8803600,HDFCBANK.NS,HDFCBANK
2016-02-12,223.31658935546875,0.0,226.77645332427448,222.07516975048975,225.06375899143836,0.0,12542144,HDFCBANK.NS,HDFCBANK
2016-02-15,223.8223114013672,0.0,227.19022677592184,223.24758277304457,225.2936223024573,0.0,10912960,HDFCBANK.NS,HDFCBANK
2016-02-16,223.78782653808594,0.0,225.7533955566507,221.15556672657635,225.63844983589885,0.0,7136096,HDFCBANK.NS,HDFCBANK
2016-02-17,224.12115478515625,0.0,225.27061190472017,220.4658755323594,224.58093763298183,0.0,7503924,HDFCBANK.NS,HDFCBANK
2016-02-18,227.46609497070312,0.0,227.87989676888418,224.60394365013855,226.67296667250423,0.0,6799856,HDFCBANK.NS,HDFCBANK
2016-02-19,227.43161010742188,0.0,228.1902490908955,223.79932798089618,227.3051726154197,0.0,3328660,HDFCBANK.NS,HDFCBANK
2016-02-22,227.30517578125,0.0,228.97188882743365,225.9832999170354,225.9832999170354,0.0,4002396,HDFCBANK.NS,HDFCBANK
2016-02-23,223.00619506835938,0.0,226.55802072621927,222.0751375155026,226.4200914707814,0.0,6078320,HDFCBANK.NS,HDFCBANK
2016-02-24,218.30491638183594,0.0,221.36248390705268,217.56927496338383,220.69579308618722,0.0,6463468,HDFCBANK.NS,HDFCBANK
2016-02-25,216.70718383789062,0.0,220.06359343995595,215.6841640654895,219.3164462175168,0.0,8463196,HDFCBANK.NS,HDFCBANK
2016-02-26,220.92568969726562,0.0,223.2246042622736,217.24742639325288,218.39688367575687,0.0,6209388,HDFCBANK.NS,HDFCBANK
2016-02-29,223.4199981689453,0.0,225.89133123541797,213.33926378480152,220.94866510247266,0.0,8812752,HDFCBANK.NS,HDFCBANK
2016-03-01,226.2476806640625,0.0,226.84539283345634,223.42000454722773,224.13267647538592,0.0,4322560,HDFCBANK.NS,HDFCBANK
2016-03-02,231.5466766357422,0.0,232.3972778268328,228.74199807416875,229.43167244022152,0.0,6358976,HDFCBANK.NS,HDFCBANK
2016-03-03,233.5352325439453,0.0,234.48928770946534,232.1903731240784,232.36279171798245,0.0,4610400,HDFCBANK.NS,HDFCBANK
2016-03-04,234.61572265625,0.0,235.6157589089045,228.30519938163508,233.44328184302577,0.0,5704624,HDFCBANK.NS,HDFCBANK
2016-03-08,233.14442443847656,0.0,235.40884965509406,232.07542356134516,235.40884965509406,0.0,1913688,HDFCBANK.NS,HDFCBANK
2016-03-09,235.59278869628906,0.0,236.76522957580303,231.44323645496658,232.88005813646004,0.0,6528172,HDFCBANK.NS,HDFCBANK
