Date,Close,Dividends,High,Low,Open,Stock Splits,Volume,Ticker,Name
2016-01-01,1610.229736328125,0.0,1639.7769801300392,1554.7829392543154,1564.6366599096252,0.0,599660,EICHERMOT.NS,EICHERMOT
2016-01-04,1621.7659912109375,0.0,1666.2235496899432,1616.6444462558402,1624.0509464102986,0.0,917430,EICHERMOT.NS,EICHERMOT
2016-01-05,1590.675537109375,0.0,1647.336731381569,1586.1333492114004,1629.1541747792442,0.0,563490,EICHERMOT.NS,EICHERMOT
2016-01-06,1624.523681640625,0.0,1632.857154008903,1596.2463855971791,1602.4570550755664,0.0,487940,EICHERMOT.NS,EICHERMOT
2016-01-07,1579.1575927734375,0.0,1617.4137596577382,1568.390818010239,1612.0049122202092,0.0,496240,EICHERMOT.NS,EICHERMOT
2016-01-08,1598.23046875,0.0,1620.348020253247,1581.4151730846907,1581.4151730846907,0.0,282520,EICHERMOT.NS,EICHERMOT
2016-01-11,1598.01708984375,0.0,1613.859017150995,1566.86155973121,1590.6847061637607,0.0,302910,EICHERMOT.NS,EICHERMOT
2016-01-12,1582.04541015625,0.0,1612.9320827804747,1574.0872746294488,1612.918164614856,0.0,296900,EICHERMOT.NS,EICHERMOT
2016-01-13,1581.665283203125,0.0,1602.5499994323923,1545.6987072710865,1602.5499994323923,0.0,450700,EICHERMOT.NS,EICHERMOT
2016-01-14,1574.7408447265625,0.0,1584.6779622420277,1552.6742157460758,1565.656469446135,0.0,370670,EICHERMOT.NS,EICHERMOT
2016-01-15,1505.477294921875,0.0,1593.2802066638028,1487.8880162599296,1576.7800526785636,0.0,339700,EICHERMOT.NS,EICHERMOT
2016-01-18,1433.052978515625,0.0,1508.8283350481126,1413.6329514288138,1506.079893485192,0.0,485220,EICHERMOT.NS,EICHERMOT
2016-01-19,1466.8179931640625,0.0,1474.9429200598202,1371.9191910152856,1432.1723987287946,0.0,629330,EICHERMOT.NS,EICHERMOT
2016-01-20,1440.40869140625,0.0,1458.633002682692,1393.239686062828,1446.1697938868776,0.0,438840,EICHERMOT.NS,EICHERMOT
2016-01-21,1441.64599609375,0.0,1474.9891663337291,1425.68355844206,1463.5828342610423,0.0,458590,EICHERMOT.NS,EICHERMOT
2016-01-22,1526.9508056640625,0.0,1537.203175791444,1455.8195847148359,1472.4958108765145,0.0,550390,EICHERMOT.NS,EICHERMOT
